"rfmo","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"wcpfc",147.5,-47.5,1972,3572.891,10.302,703,0,0,10.302,703,0,0
"wcpfc",147.5,-47.5,1973,3148.587,1.027,77,0,0,1.027,77,0,0
"wcpfc",147.5,-47.5,1974,3051.477,3.052,245,0,0,3.052,245,0,0
"wcpfc",147.5,-47.5,1975,1843.472,0.141,9,0,0,0.141,9,0,0
"wcpfc",147.5,-47.5,1976,2748.634,1.85,119,0,0,1.85,119,0,0
"wcpfc",147.5,-47.5,1977,2721.301,0.085,6,0,0,0.085,6,0,0
"wcpfc",147.5,-47.5,1978,3177.557,0.635,45,0,0,0.635,45,0,0
"wcpfc",147.5,-47.5,1980,3959.816,0.56,47,0,0,0.56,47,0,0
"wcpfc",147.5,-47.5,1981,3641.8,0.455,36,0,0,0.455,36,0,0
"wcpfc",147.5,-47.5,1983,2758.3,0.131,8,0,0,0.131,8,0,0
"wcpfc",147.5,-47.5,1985,1406.9,0.014,1,0,0,0.014,1,0,0
"wcpfc",167.5,-47.5,1985,2963.6,0.794,55,0,0,0.794,55,0,0
"wcpfc",167.5,-47.5,1986,3495.9,0.984,68,0,0,0.984,68,0,0
"wcpfc",167.5,-47.5,1987,3717.1,0.086,6,0,0,0.086,6,0,0
"wcpfc",167.5,-47.5,1988,2223,0.014,1,0,0,0.014,1,0,0
"wcpfc",167.5,-47.5,1990,2075.6,3.098,224,0,0,3.098,224,0,0
"wcpfc",167.5,-47.5,1991,3382.9,1.108,79,0,0,1.108,79,0,0
"wcpfc",167.5,-47.5,1992,2501.5,1.192,87,0,0,1.192,87,0,0
"wcpfc",167.5,-47.5,1993,1611,0.089,6,0,0,0.089,6,0,0
"wcpfc",172.5,-47.5,1969,1890.082,4.91,342,0,0,4.91,342,0,0
"wcpfc",172.5,-47.5,1970,4492.718,18.499,1688,0,0,18.499,1688,0,0
"wcpfc",172.5,-47.5,1971,6036.922,54.126,3727,0,0,54.126,3727,0,0
"wcpfc",172.5,-47.5,1972,5663.307,10.873,742,0,0,10.873,742,0,0
"wcpfc",172.5,-47.5,1973,4861.737,12.944,969,0,0,12.944,969,0,0
"wcpfc",172.5,-47.5,1974,5359.426,12.18,900,0.177,4,12.003,896,0,0
"wcpfc",172.5,-47.5,1975,7029.052,8.271,526,0.128,3,8.143,523,0,0
"wcpfc",172.5,-47.5,1976,10148.189,3.875,245,0.115,3,3.76,242,0,0
"wcpfc",172.5,-47.5,1977,10911.415,2.497,176,0,0,2.497,176,0,0
"wcpfc",172.5,-47.5,1978,1799.447,0.519,35,0.039,1,0.48,34,0,0
"wcpfc",172.5,-47.5,1979,10236.846,4.564,346,0.555,15,4.009,331,0,0
"wcpfc",172.5,-47.5,1980,12356.371,0.964,81,0,0,0.964,81,0,0
"wcpfc",172.5,-47.5,1981,10203.9,10.929,865,0,0,10.929,865,0,0
"wcpfc",172.5,-47.5,1982,7244.1,0.931,63,0,0,0.931,63,0,0
"wcpfc",172.5,-47.5,1983,3586.3,0.082,5,0,0,0.082,5,0,0
"wcpfc",172.5,-47.5,1984,6168.5,1.19,82,0,0,1.19,82,0,0
"wcpfc",172.5,-47.5,1985,3477.2,2.091,145,0,0,2.091,145,0,0
"wcpfc",172.5,-47.5,1986,2281.4,2.561,177,0,0,2.561,177,0,0
"wcpfc",172.5,-47.5,1987,3852.8,0.071,5,0,0,0.071,5,0,0
"wcpfc",172.5,-47.5,1988,3689.5,0.868,62,0,0,0.868,62,0,0
"wcpfc",172.5,-47.5,1989,2435.3,0.34,22,0,0,0.34,22,0,0
"wcpfc",172.5,-47.5,1991,1499.8,0.843,55,0,0,0.843,55,0,0
"wcpfc",177.5,-47.5,1970,2157.93,22.876,2105,0,0,22.876,2105,0,0
"wcpfc",177.5,-47.5,1971,2448.061,38.529,2653,0,0,38.529,2653,0,0
"wcpfc",177.5,-47.5,1973,1304.503,5.726,426,0.049,1,5.677,425,0,0
"wcpfc",177.5,-47.5,1974,1812.928,2.638,197,0,0,2.638,197,0,0
"wcpfc",177.5,-47.5,1976,4440.017,2.379,153,0,0,2.379,153,0,0
"wcpfc",177.5,-47.5,1977,2248.971,1.191,84,0,0,1.191,84,0,0
"wcpfc",177.5,-47.5,1980,1589.045,0.977,82,0,0,0.977,82,0,0
"wcpfc",177.5,-47.5,1981,1972.8,2.729,216,0,0,2.729,216,0,0
"wcpfc",177.5,-47.5,1982,1376.5,0.473,32,0,0,0.473,32,0,0
"iccat",-54.5,-44.5,1980,2065,0,2,0,0,0,2,0,0
"iccat",-54.5,-44.5,1981,27955,0,11,0,0,0,11,0,0
"iccat",-54.5,-44.5,1995,4275,0,66,0,0,0,66,0,0
"iccat",-54.5,-44.5,2013,0,0.004,0,0,0,0,0,0.004,0
"iccat",-49.5,-44.5,1970,15015,0,211,0,2,0,209,0,0
"iccat",-49.5,-44.5,1973,55654,0,142,0,0,0,142,0,0
"iccat",-49.5,-44.5,1980,57520,0,138,0,3,0,135,0,0
"iccat",-49.5,-44.5,1981,17844,0,34,0,0,0,34,0,0
"iccat",-49.5,-44.5,1982,3312,0,2,0,2,0,0,0,0
"iccat",-49.5,-44.5,1986,16134,0,12,0,0,0,12,0,0
"iccat",-49.5,-44.5,2002,7208,1.405,0,0,0,1.405,0,0,0
"iccat",-49.5,-44.5,2011,29650,1.41537,0,0.339,0,1.07637,0,0,0
"iccat",-49.5,-44.5,2012,7873,0.1243,0,0,0,0,0,0.1243,0
"iccat",-49.5,-44.5,2015,0,0.056,0,0,0,0.04,0,0.016,0
"iccat",-49.5,-44.5,2017,0,0.09007,0,0,0,0.09007,0,0,0
"iccat",-44.5,-44.5,1980,5150,0,3,0,0,0,3,0,0
"iccat",-44.5,-44.5,1981,10680,0,2,0,0,0,2,0,0
"iccat",-44.5,-44.5,1982,39879,0,193,0,6,0,187,0,0
"iccat",-44.5,-44.5,1986,11913,0,296,0,3,0,293,0,0
"iccat",-44.5,-44.5,1992,3040,0.923,0,0,0,0.923,0,0,0
"iccat",-44.5,-44.5,1998,8321,3.773,0,0.418,0,3.163,0,0.192,0
"iccat",-44.5,-44.5,2012,1250,0,2,0,0,0,2,0,0
"iccat",-39.5,-44.5,1979,8498,0,5,0,0,0,5,0,0
"iccat",-39.5,-44.5,1980,38480,0,20,0,0,0,20,0,0
"iccat",-39.5,-44.5,1981,88750,0,186,0,0,0,186,0,0
"iccat",-39.5,-44.5,1982,128216,0,165,0,0,0,165,0,0
"iccat",-39.5,-44.5,1983,30420,0,47,0,0,0,47,0,0
"iccat",-39.5,-44.5,1984,5750,0,35,0,0,0,35,0,0
"iccat",-39.5,-44.5,1992,38040,10.05,0,0,0,10.05,0,0,0
"iccat",-39.5,-44.5,1993,75708,9.2,483,0.2,10,9,473,0,0
"iccat",-39.5,-44.5,2001,12971,2.402,0,0,0,2.402,0,0,0
"iccat",-39.5,-44.5,2015,6500,0,78,0,0,0,26,0,52
"iccat",-34.5,-44.5,1973,2259,0,3,0,0,0,3,0,0
"iccat",-34.5,-44.5,1982,30360,0,10,0,0,0,10,0,0
"iccat",-34.5,-44.5,1992,16020,3.307,0,0.255,0,3.052,0,0,0
"iccat",-34.5,-44.5,1993,75708,9.6,504,0,0,9.6,504,0,0
"iccat",-34.5,-44.5,2013,1600,0.006,0,0,0,0.006,0,0,0
"iccat",-34.5,-44.5,2022,0,0.0598,0,0.0598,0,0,0,0,0
"iccat",-29.5,-44.5,1992,25200,8.823,0,0.255,0,8.406,0,0.162,0
"iccat",-29.5,-44.5,1993,75708,10.4,546,0,0,10.4,546,0,0
"iccat",-29.5,-44.5,2015,2700,0,81,0,40,0,33,0,8
"iccat",-24.5,-44.5,1993,75708,12.9,661,1.2,52,9.8,515,1.9,94
"iccat",-24.5,-44.5,2009,18750,1.059,0,0.179,0,0.846,0,0.034,0
"iccat",-19.5,-44.5,1994,35820,5.2,247,0,0,4.8,233,0.4,14
"iccat",-14.5,-44.5,1993,75708,8,420,0,0,8,420,0,0
"iccat",-14.5,-44.5,1994,35820,4.9,237,0.1,4,4.8,233,0,0
"iccat",-9.5,-44.5,1993,75708,8.4,441,0,0,8.4,441,0,0
"iccat",-4.5,-44.5,1993,151416,21.2,1103,0.5,21,18.6,977,2.1,105
"iccat",-4.5,-44.5,2023,44410,0.061,0,0,0,0.061,0,0,0
"iccat",-4.5,-44.5,2024,10610,0,45,0,0,0,45,0,0
"iccat",0.5,-44.5,1983,24438,1.3,107,0,0,1.3,107,0,0
"iccat",0.5,-44.5,1989,63990,0,1,0,0,0,1,0,0
"iccat",0.5,-44.5,1993,302832,36.8,1921,1.2,52,35.4,1859,0.2,10
"iccat",0.5,-44.5,2016,3750,0,66,0,13,0,14,0,39
"iccat",0.5,-44.5,2023,14872,0.02,0,0,0,0.02,0,0,0
"iccat",0.5,-44.5,2024,142516,0.243,76,0,0,0.243,74,0,2
"iccat",5.5,-44.5,1991,1405972,115,3450,91.8,2502,0,0,23.2,948
"iccat",5.5,-44.5,1993,154379,17.9,958,0,0,17.9,958,0,0
"iccat",10.5,-44.5,1972,25671,0,27,0,0,0,27,0,0
"iccat",10.5,-44.5,1974,2766,0,1,0,0,0,1,0,0
"iccat",10.5,-44.5,1980,9821,0,2,0,0,0,2,0,0
"iccat",10.5,-44.5,1999,14631,0,3,0,0,0,3,0,0
"iccat",15.5,-44.5,1970,61573,0,94,0,0,0,94,0,0
"iccat",15.5,-44.5,1972,58459,0,6,0,0,0,6,0,0
"iccat",15.5,-44.5,1974,36317,0,40,0,0,0,40,0,0
"iccat",15.5,-44.5,1975,16388,0,1,0,0,0,1,0,0
"iccat",15.5,-44.5,1976,2425,0,10,0,0,0,10,0,0
"iccat",15.5,-44.5,1979,41138,0,8,0,0,0,8,0,0
"iccat",15.5,-44.5,1990,121312,0,74,0,44,0,22,0,8
"iccat",15.5,-44.5,1991,702986,57.5,1725,45.9,1251,0,0,11.6,474
"iccat",15.5,-44.5,2005,238291,0,46,0,0,0,46,0,0
"iccat",15.5,-44.5,2008,235761,0,11,0,0,0,11,0,0
"iccat",15.5,-44.5,2012,9600,0,3,0,0,0,3,0,0
"wcpfc",-172.5,-42.5,1974,5728.017,524.128,48774,57.374,1274,327.385,42523,139.369,4977
"iattc",-147.5,-42.5,1979,22.514,0,366,0,4,0,362,0,0
"iattc",-147.5,-42.5,1979,4.209,2.26,193,0.45,11,1.81,182,0,0
"iattc",-147.5,-42.5,1981,16.17,0,892,0,4,0,886,0,2
"iattc",-147.5,-42.5,1983,9.646,6.39,563,0,0,6.39,563,0,0
"iattc",-147.5,-42.5,1984,5.351,0,119,0,0,0,119,0,0
"iattc",-147.5,-42.5,1986,56.355,0,1928,0,0,0,1928,0,0
"iattc",-147.5,-42.5,1986,27.856,9.54,628,0,0,9.54,628,0,0
"iattc",-147.5,-42.5,1987,7.99,0.55,70,0,0,0.55,70,0,0
"iattc",-147.5,-42.5,1987,34.122,7.2,474,0,0,7.2,474,0,0
"iattc",-147.5,-42.5,1989,8.845,0.48,88,0,0,0.48,88,0,0
"iattc",-147.5,-42.5,1989,319.061,69.47,5667,0,0,69.47,5667,0,0
"iattc",-147.5,-42.5,1993,30.119,4.31,396,0,0,4.31,396,0,0
"iattc",-147.5,-42.5,1996,237.784,109.53,14376,0,0,109.53,14376,0,0
"iattc",-147.5,-42.5,1997,115.907,32.38,4908,0,0,32.38,4908,0,0
"iattc",-147.5,-42.5,1999,2.56,0.94,27,0.81,23,0,0,0.13,4
"iattc",-147.5,-42.5,1999,96.212,19.54,2862,0,0,19.54,2862,0,0
"iattc",-147.5,-42.5,2000,338.43,107.89,9856,18.45,517,85.37,9190,4.07,149
"iattc",-147.5,-42.5,2001,5.04,0.22,6,0.18,4,0,0,0.04,2
"iattc",-147.5,-42.5,2002,69.254,68.54,1613,48.97,1028,1.38,126,18.19,459
"iattc",-147.5,-42.5,2004,167.426,45.83,5010,4.88,148,39.2,4815,1.75,47
"iattc",-147.5,-42.5,2005,9.216,2.02,247,0,0,2.02,247,0,0
"iattc",-147.5,-42.5,2006,48,12.15,1274,0.08,4,12.07,1270,0,0
"iattc",-147.5,-42.5,2009,28.8,9.6,1009,0,0,9.6,1009,0,0
"iattc",-147.5,-42.5,2019,3.25,0,2,0,0,0,2,0,0
"iattc",-142.5,-42.5,1981,24.395,0,747,0,0,0,747,0,0
"iattc",-142.5,-42.5,1982,8.26,0,340,0,0,0,339,0,1
"iattc",-142.5,-42.5,1984,9.676,6.36,442,0,0,6.36,442,0,0
"iattc",-142.5,-42.5,1985,8.6,0,241,0,1,0,240,0,0
"iattc",-142.5,-42.5,1986,159.518,0,2958,0,2,0,2956,0,0
"iattc",-142.5,-42.5,1989,3.29,0.19,35,0,0,0.19,35,0,0
"iattc",-142.5,-42.5,1989,45.164,2.69,270,0,0,2.69,270,0,0
"iattc",-142.5,-42.5,1993,52.56,11.47,886,0,0,11.47,886,0,0
"iattc",-142.5,-42.5,1996,91.152,66.01,7771,0,0,66.01,7771,0,0
"iattc",-142.5,-42.5,1997,21.524,8.8,1262,0,0,8.8,1262,0,0
"iattc",-142.5,-42.5,2000,108.43,18.53,2380,0,0,18.53,2380,0,0
"iattc",-142.5,-42.5,2002,61.755,51.03,1657,30.5,553,16.25,994,4.28,110
"iattc",-142.5,-42.5,2003,101.5,33.94,1896,13.63,384,11.65,1198,8.66,314
"iattc",-142.5,-42.5,2004,228.439,82.78,6187,11.8,228,58.89,5653,12.09,306
"iattc",-142.5,-42.5,2005,8.848,4.27,475,0,0,4.27,475,0,0
"iattc",-142.5,-42.5,2006,208.44,50.97,4920,0.1,5,50.87,4915,0,0
"iattc",-142.5,-42.5,2012,28.4,13.81,1767,0,0,13.81,1767,0,0
"iattc",-137.5,-42.5,1982,2.45,0,133,0,0,0,133,0,0
"iattc",-137.5,-42.5,1984,28.382,0,565,0,0,0,565,0,0
"iattc",-137.5,-42.5,1985,342,0,11177,0,2,0,11175,0,0
"iattc",-137.5,-42.5,1986,251.994,0,2458,0,1,0,2456,0,1
"iattc",-137.5,-42.5,1989,109.268,36.33,2732,0,0,36.33,2732,0,0
"iattc",-137.5,-42.5,1992,316.831,175.37,14457,0,0,175.37,14457,0,0
"iattc",-137.5,-42.5,1993,10.63,4.94,337,0,0,4.94,337,0,0
"iattc",-137.5,-42.5,1994,7.56,0,6,0,0,0,6,0,0
"iattc",-137.5,-42.5,1996,246.674,146.93,19682,0,0,146.93,19682,0,0
"iattc",-137.5,-42.5,1999,41.491,5.5,686,0,0,5.5,686,0,0
"iattc",-137.5,-42.5,2000,88.388,6.23,665,0,0,6.23,665,0,0
"iattc",-137.5,-42.5,2002,379.466,81.97,3631,13.69,373,60.66,3046,7.62,212
"iattc",-137.5,-42.5,2003,447.445,140.88,11880,34.66,1059,90.51,10237,15.71,584
"iattc",-137.5,-42.5,2004,477.161,85.42,7045,10.17,300,72.28,6645,2.97,100
"iattc",-137.5,-42.5,2005,92.988,39.67,4227,0.05,1,39.62,4226,0,0
"iattc",-137.5,-42.5,2006,286.3,70.51,6681,0.94,24,69.53,6655,0.04,2
"iattc",-137.5,-42.5,2009,48.6,41.89,5034,0,0,41.89,5034,0,0
"iattc",-137.5,-42.5,2012,21.75,4.39,563,0,0,4.39,563,0,0
"iattc",-132.5,-42.5,1982,29.45,0,1540,0,0,0,1540,0,0
"iattc",-132.5,-42.5,1984,14.259,0,337,0,0,0,337,0,0
"iattc",-132.5,-42.5,1985,66.457,0,2216,0,0,0,2216,0,0
"iattc",-132.5,-42.5,1986,238.37,0,2480,0,0,0,2480,0,0
"iattc",-132.5,-42.5,1989,21.07,2.43,316,0,0,2.43,316,0,0
"iattc",-132.5,-42.5,1992,521.719,298.44,24526,0,0,298.44,24526,0,0
"iattc",-132.5,-42.5,2002,548.037,22.39,1123,1.22,53,20.07,1041,1.1,29
"iattc",-132.5,-42.5,2003,356.657,87.34,4833,24.18,684,54.93,3842,8.23,307
"iattc",-132.5,-42.5,2004,273.286,106.4,10955,3.35,109,101.14,10766,1.91,80
"iattc",-132.5,-42.5,2005,62.718,18.84,2019,1.22,35,17.21,1973,0.41,11
"iattc",-132.5,-42.5,2006,57.86,12.72,1160,0.06,3,12.66,1157,0,0
"iattc",-132.5,-42.5,2009,66,27.26,3445,0,0,27.26,3445,0,0
"iattc",-132.5,-42.5,2012,30.6,20.03,1237,0.85,34,18.8,1184,0.38,19
"iattc",-132.5,-42.5,2013,26.048,18.75,1227,0.45,17,18,1200,0.3,10
"iattc",-127.5,-42.5,1982,16.8,0,163,0,0,0,163,0,0
"iattc",-127.5,-42.5,1986,7.13,0,29,0,0,0,29,0,0
"iattc",-127.5,-42.5,1992,22.388,12.55,1018,0,0,12.55,1018,0,0
"iattc",-127.5,-42.5,2002,157.124,216.95,6929,118.42,3138,60.58,2926,37.95,865
"iattc",-127.5,-42.5,2003,268.542,60.57,2641,4.98,131,53.3,2435,2.29,75
"iattc",-127.5,-42.5,2004,233.629,97.74,10258,2.67,79,94.02,10133,1.05,46
"iattc",-127.5,-42.5,2005,362.731,134.07,15387,3.36,74,130.71,15313,0,0
"iattc",-127.5,-42.5,2006,57.2,9.83,1064,0.58,16,9.23,1047,0.02,1
"iattc",-127.5,-42.5,2007,11.3,0.57,56,0,0,0.57,56,0,0
"iattc",-127.5,-42.5,2010,6,1.54,151,0,0,1.54,151,0,0
"iattc",-127.5,-42.5,2012,3,0.64,39,0.02,1,0.58,36,0.04,2
"iattc",-127.5,-42.5,2021,30.88,3.56,365,0,0,3.56,365,0,0
"iattc",-127.5,-42.5,2021,6.5,0,26,0,0,0,26,0,0
"iattc",-122.5,-42.5,2002,339.656,303.79,11310,161.27,4743,108.29,5667,34.23,900
"iattc",-122.5,-42.5,2003,36.217,4.97,605,0,0,4.97,605,0,0
"iattc",-122.5,-42.5,2005,467.004,236.41,25655,0,0,236.41,25655,0,0
"iattc",-122.5,-42.5,2006,11.7,2.11,235,0.1,4,1.98,229,0.03,2
"iattc",-122.5,-42.5,2007,33.972,9.21,906,0,0,9.21,906,0,0
"iattc",-122.5,-42.5,2007,109,40.24,4117,0,0,40.24,4117,0,0
"iattc",-122.5,-42.5,2010,33.3,9.26,947,0.09,4,9.09,939,0.08,4
"iattc",-122.5,-42.5,2012,15,5.25,322,0.23,9,4.84,305,0.18,8
"iattc",-122.5,-42.5,2021,29.89,2.87,200,0.38,6,2.49,194,0,0
"iattc",-122.5,-42.5,2021,20.32,0,98,0,0,0,98,0,0
"iattc",-117.5,-42.5,1999,2.4,0.7,22,0.29,7,0,0,0.41,15
"iattc",-117.5,-42.5,2003,7.032,0.03,2,0,0,0.03,2,0,0
"iattc",-117.5,-42.5,2005,157.555,78.48,7985,0,0,78.48,7985,0,0
"iattc",-117.5,-42.5,2006,7.6,1.16,102,0.02,1,1.14,101,0,0
"iattc",-117.5,-42.5,2007,107.03,28.6,3004,0,0,28.6,3004,0,0
"iattc",-117.5,-42.5,2007,126.6,33.98,3873,0,0,33.98,3873,0,0
"iattc",-117.5,-42.5,2009,14,2.1,383,0,0,2.1,383,0,0
"iattc",-117.5,-42.5,2010,9,0.59,48,0.02,1,0.57,47,0,0
"iattc",-117.5,-42.5,2012,3,0.71,42,0.07,3,0.62,38,0.02,1
"iattc",-117.5,-42.5,2020,7,0.03,5,0,0,0.03,5,0,0
"iattc",-117.5,-42.5,2021,240.15,60.65,6163,0.29,5,60.36,6158,0,0
"iattc",-117.5,-42.5,2021,27,0,767,0,0,0,767,0,0
"iattc",-112.5,-42.5,1994,15.12,0,40,0,0,0,40,0,0
"iattc",-112.5,-42.5,2005,43.98,8.44,419,0.26,4,8.11,413,0.07,2
"iattc",-112.5,-42.5,2007,30,15.04,1528,0,0,15.04,1528,0,0
"iattc",-112.5,-42.5,2007,3.6,0.72,65,0,0,0.72,65,0,0
"iattc",-112.5,-42.5,2008,3,0.29,27,0.02,1,0.25,25,0.02,1
"iattc",-112.5,-42.5,2021,54.14,17.64,1419,0.09,1,17.55,1418,0,0
"iattc",-107.5,-42.5,1987,20.892,6.41,383,0,0,6.41,383,0,0
"iattc",-107.5,-42.5,2001,2.55,1.81,79,0.34,12,0.51,34,0.96,33
"iattc",-107.5,-42.5,2003,18.565,0.6,33,0,0,0.6,33,0,0
"iattc",-107.5,-42.5,2008,3,0.22,21,0.03,1,0.19,20,0,0
"iattc",-102.5,-42.5,2008,8.6,1.79,94,0.49,14,1.28,79,0.02,1
"iattc",-97.5,-42.5,1998,2.4,1.4,23,1.16,18,0,0,0.24,5
"iattc",-87.5,-42.5,1984,9.064,0,52,0,39,0,2,0,11
"wcpfc",142.5,-42.5,1992,1779.566,2.153,222,0.047,1,0.913,192,1.193,29
"wcpfc",142.5,-42.5,1993,2652.928,0.033,2,0,0,0.033,2,0,0
"wcpfc",152.5,-42.5,1990,2439.9,139.801,13134,0.405,11,139.2,13117,0.196,6
"wcpfc",152.5,-42.5,1992,1325.394,43.536,4156,0.108,1,43.428,4155,0,0
"wcpfc",152.5,-42.5,1997,2111.572,653.969,34076,23.922,821,555.568,30620,74.479,2635
"wcpfc",152.5,-42.5,1998,3446.517,1096.879,63976,12.322,378,1078.705,63390,5.852,208
"wcpfc",152.5,-42.5,1999,5309.415,790.019,43689,11.941,365,775.377,43220,2.701,104
"wcpfc",152.5,-42.5,2000,4516.004,532.696,30066,3.32,105,519.407,29593,9.969,368
"wcpfc",152.5,-42.5,2001,8871.548,2326.378,132462,10.654,394,2312.662,131952,3.062,116
"wcpfc",152.5,-42.5,2002,8631.696,1888.697,117198,68.799,2407,1790.216,113638,29.682,1153
"wcpfc",152.5,-42.5,2003,5963.588,698.781,41795,31.779,1038,664.64,40661,2.362,96
"wcpfc",152.5,-42.5,2004,3273.735,1354.375,79859,4.391,146,1349.132,79682,0.852,31
"wcpfc",152.5,-42.5,2005,2696.939,1091.429,68060,5.343,148,1082.252,67773,3.834,139
"wcpfc",152.5,-42.5,2011,1410.912,131.143,18284,1.592,24,128.636,18243,0.915,17
"wcpfc",152.5,-42.5,2012,1713.132,146.188,17891,8.467,119,136.098,17743,1.623,29
"wcpfc",152.5,-42.5,2015,2542.298,154.187,21939,0.844,12,153.176,21924,0.167,3
"wcpfc",152.5,-42.5,2016,1694.501,140.229,20351,1.198,17,138.855,20331,0.176,3
"wcpfc",152.5,-42.5,2017,2421.327,264.251,30821,10.114,161,252.618,30635,1.519,25
"wcpfc",152.5,-42.5,2019,2188.79,73.477,9904,0.035,1,73.442,9903,0,0
"wcpfc",157.5,-42.5,1998,1377.006,433.103,25291,4.564,140,427.16,25102,1.379,49
"wcpfc",157.5,-42.5,1999,3173.547,366.104,20326,3.141,96,362.859,20226,0.104,4
"wcpfc",157.5,-42.5,2001,1412.343,301.271,17184,0.27,10,301.001,17174,0,0
"wcpfc",157.5,-42.5,2013,2462.706,172.674,24298,0.956,15,171.718,24283,0,0
"wcpfc",157.5,-42.5,2014,1682.623,238.7,32442,3.139,46,234.546,32377,1.015,19
"wcpfc",157.5,-42.5,2016,2199.15,184.335,26780,2.054,29,181.755,26742,0.526,9
"wcpfc",157.5,-42.5,2017,2443.997,199.216,22122,20.47,322,177.833,21785,0.913,15
"wcpfc",157.5,-42.5,2018,3982.313,164.935,18830,1.524,17,163.265,18811,0.146,2
"wcpfc",157.5,-42.5,2019,1750.362,79.582,10578,0.096,2,79.344,10574,0.142,2
"wcpfc",157.5,-42.5,2020,1900.423,161.269,21609,0.253,3,161.016,21606,0,0
"wcpfc",157.5,-42.5,2021,2137.072,128.45,15207,1.025,17,127.25,15187,0.175,3
"wcpfc",157.5,-42.5,2022,1490.345,161.957,18727,0,0,161.957,18727,0,0
"wcpfc",157.5,-42.5,2023,1768.24,171.942,16378,20.913,493,150.923,15883,0.106,2
"wcpfc",157.5,-42.5,2024,1251.829,145.899,12914,0.31,3,145.589,12911,0,0
"wcpfc",167.5,-42.5,1992,2106.598,5.27,362,0,0,5.27,362,0,0
"wcpfc",167.5,-42.5,2003,1205.304,13.967,1181,0,0,13.967,1181,0,0
"wcpfc",167.5,-42.5,2004,2054.424,16.605,1586,0,0,16.605,1586,0,0
"wcpfc",167.5,-42.5,2014,1269.324,18.986,1938,0,0,18.986,1938,0,0
"wcpfc",167.5,-42.5,2015,1417.931,23.02,2798,0,0,23.02,2798,0,0
"wcpfc",177.5,-42.5,1969,3396.637,149.72,10404,0.496,11,149.224,10393,0,0
"wcpfc",177.5,-42.5,1970,1489.741,43.711,3404,1.6,34,41.93,3364,0.181,6
"wcpfc",177.5,-42.5,1971,3748.221,125.419,7669,18.298,412,103.737,7143,3.384,114
"wcpfc",177.5,-42.5,1972,3459.437,136.566,8215,23.983,551,112.07,7648,0.513,16
"wcpfc",177.5,-42.5,1974,3880.304,404.957,34597,44.33,985,252.947,29766,107.68,3846
"wcpfc",177.5,-42.5,1976,3594.6,39.76,2541,0.461,12,39.299,2529,0,0
"wcpfc",177.5,-42.5,1980,2656.437,9.719,803,0.081,2,9.473,795,0.165,6
"wcpfc",177.5,-42.5,1981,4447.1,121.597,9531,1.768,47,119.829,9484,0,0
"wcpfc",177.5,-42.5,1982,3521.2,84,5681,0.205,6,83.795,5675,0,0
"wcpfc",177.5,-42.5,1983,2408.6,42.208,2542,0.533,15,41.675,2527,0,0
