"rfmo","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat",-29.5,-54.5,2015,1800,0,32,0,30,0,1,0,1
"iccat",-19.5,-54.5,1994,35820,4.2,203,0,0,4.2,203,0,0
"iccat",-14.5,-54.5,1994,107460,15.1,726,0.5,18,14.2,694,0.4,14
"iccat",-9.5,-54.5,1994,179100,23.3,1129,0,0,22.6,1096,0.7,33
"iccat",-4.5,-54.5,1994,143280,17.6,845,0.6,22,16.5,799,0.5,24
"iccat",0.5,-54.5,1994,250740,30.6,1461,0.3,9,29.6,1429,0.7,23
"iccat",5.5,-54.5,1994,143280,18.7,896,0.5,24,16.9,814,1.3,58
"iccat",10.5,-54.5,1994,179100,23.3,1157,0.1,4,22.7,1135,0.5,18
"iccat",-49.5,-49.5,2012,1200,0,3,0,0,0,3,0,0
"iccat",-34.5,-49.5,2015,1200,0,7,0,5,0,0,0,2
"iccat",-29.5,-49.5,2012,1187,0,25,0,20,0,2,0,3
"iccat",-29.5,-49.5,2015,2250,0,30,0,16,0,9,0,5
"iccat",-19.5,-49.5,1994,35820,4.6,223,0,0,4.6,223,0,0
"iccat",-14.5,-49.5,1993,75708,7,368,0,0,7,368,0,0
"iccat",-14.5,-49.5,1994,35820,4.4,213,0,0,4.4,213,0,0
"iccat",-9.5,-49.5,1993,75708,7.6,399,0,0,7.6,399,0,0
"iccat",-9.5,-49.5,1994,35820,4.1,193,0,0,3.9,189,0.2,4
"iccat",-4.5,-49.5,1993,75708,9.1,472,0.5,21,8.4,441,0.2,10
"iccat",0.5,-49.5,1993,302832,35,1839,0,0,34.2,1797,0.8,42
"iccat",5.5,-49.5,1993,227124,24.7,1291,0.2,10,23.3,1229,1.2,52
"iattc",-132.5,-47.5,1998,1.734,0.4,11,0.31,7,0.03,2,0.06,2
"wcpfc",147.5,-47.5,1966,1654.23,6.326,486,0,0,6.267,484,0.059,2
"wcpfc",147.5,-47.5,1968,3121.27,10.625,722,1.616,38,9.009,684,0,0
"wcpfc",147.5,-47.5,1969,2305.574,1.715,116,0,0,1.622,113,0.093,3
"wcpfc",147.5,-47.5,1970,5981.473,10.716,785,0.753,16,9.842,765,0.121,4
"wcpfc",147.5,-47.5,1971,5453.594,4.372,301,0,0,4.372,301,0,0
