"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"wcpfc","JPN",172.5,-47.5,1989,2435.3,0.34,22,0,0,0.34,22,0,0
"wcpfc","JPN",172.5,-47.5,1991,1499.8,0.843,55,0,0,0.843,55,0,0
"wcpfc","JPN",177.5,-47.5,1970,2157.93,22.876,2105,0,0,22.876,2105,0,0
"wcpfc","JPN",177.5,-47.5,1971,2448.061,38.529,2653,0,0,38.529,2653,0,0
"wcpfc","JPN",177.5,-47.5,1973,1304.503,5.726,426,0.049,1,5.677,425,0,0
"wcpfc","JPN",177.5,-47.5,1974,1812.928,2.638,197,0,0,2.638,197,0,0
"wcpfc","JPN",177.5,-47.5,1976,4440.017,2.379,153,0,0,2.379,153,0,0
"wcpfc","JPN",177.5,-47.5,1977,2248.971,1.191,84,0,0,1.191,84,0,0
"wcpfc","JPN",177.5,-47.5,1980,1589.045,0.977,82,0,0,0.977,82,0,0
"wcpfc","JPN",177.5,-47.5,1981,1972.8,2.729,216,0,0,2.729,216,0,0
"wcpfc","JPN",177.5,-47.5,1982,1376.5,0.473,32,0,0,0.473,32,0,0
"iccat","JPN",-54.5,-44.5,1980,2065,0,2,0,0,0,2,0,0
"iccat","JPN",-54.5,-44.5,1981,27955,0,11,0,0,0,11,0,0
"iccat","JPN",-54.5,-44.5,1995,4275,0,66,0,0,0,66,0,0
"iccat","PRT",-54.5,-44.5,2013,0,0.004,0,0,0,0,0,0.004,0
"iccat","JPN",-49.5,-44.5,1970,15015,0,211,0,2,0,209,0,0
"iccat","JPN",-49.5,-44.5,1973,55654,0,142,0,0,0,142,0,0
"iccat","JPN",-49.5,-44.5,1980,57520,0,138,0,3,0,135,0,0
"iccat","JPN",-49.5,-44.5,1981,17844,0,34,0,0,0,34,0,0
"iccat","JPN",-49.5,-44.5,1982,3312,0,2,0,2,0,0,0,0
"iccat","JPN",-49.5,-44.5,1986,16134,0,12,0,0,0,12,0,0
"iccat","TAI",-49.5,-44.5,2002,7208,1.405,0,0,0,1.405,0,0,0
"iccat","URY",-49.5,-44.5,2011,29650,1.41537,0,0.339,0,1.07637,0,0,0
"iccat","URY",-49.5,-44.5,2012,7873,0.1243,0,0,0,0,0,0.1243,0
"iccat","PRT",-49.5,-44.5,2015,0,0.056,0,0,0,0.04,0,0.016,0
"iccat","PRT",-49.5,-44.5,2017,0,0.09007,0,0,0,0.09007,0,0,0
"iccat","JPN",-44.5,-44.5,1980,5150,0,3,0,0,0,3,0,0
"iccat","JPN",-44.5,-44.5,1981,10680,0,2,0,0,0,2,0,0
"iccat","JPN",-44.5,-44.5,1982,39879,0,193,0,6,0,187,0,0
"iccat","JPN",-44.5,-44.5,1986,11913,0,296,0,3,0,293,0,0
"iccat","BRA",-44.5,-44.5,1992,3040,0.923,0,0,0,0.923,0,0,0
"iccat","TAI",-44.5,-44.5,1998,8321,3.773,0,0.418,0,3.163,0,0.192,0
"iccat","BRA",-44.5,-44.5,2012,1250,0,2,0,0,0,2,0,0
"iccat","JPN",-39.5,-44.5,1979,8498,0,5,0,0,0,5,0,0
