"rfmo","flag","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"wcpfc","NZL",176.5,-37.5,1999,11.25,11.25,422.259,422.259,0,0,0
"wcpfc","NZL",176.5,-37.5,2000,6.24,6.24,253.616,253.616,0,0,0
"wcpfc","NZL",176.5,-37.5,2001,3.27,3.27,17.441,17.441,0,0,0
"wcpfc","NZL",176.5,-37.5,2004,10.93,10.93,214.437,214.437,0,0,0
"wcpfc","NZL",176.5,-37.5,2005,4.01,4.01,33.074,33.074,0,0,0
"wcpfc","NZL",176.5,-37.5,2008,5,5,98,98,0,0,0
"wcpfc","NZL",176.5,-37.5,2011,9,9,152,152,0,0,0
"wcpfc","NZL",176.5,-37.5,2012,8,8,98,98,0,0,0
"wcpfc","NZL",176.5,-37.5,2013,3,3,42,42,0,0,0
"wcpfc","NZL",177.5,-37.5,1983,20,12.55,345,345,0,0,0
"wcpfc","NZL",177.5,-37.5,1984,65,34.59,747,747,0,0,0
"wcpfc","NZL",177.5,-37.5,1985,28,13.24,594,594,0,0,0
"wcpfc","NZL",177.5,-37.5,1986,13,6.32,267,267,0,0,0
"wcpfc","NZL",177.5,-37.5,1987,46,21.11,808,808,0,0,0
"wcpfc","NZL",177.5,-37.5,1990,41,41,894.3,894.3,0,0,0
"wcpfc","NZL",177.5,-37.5,1991,41,41,959,959,0,0,0
"wcpfc","NZL",177.5,-37.5,1992,15,15,334,334,0,0,0
"wcpfc","NZL",177.5,-37.5,1994,26.64,26.64,325.11,325.11,0,0,0
"wcpfc","NZL",177.5,-37.5,1995,7.16,7.16,103.897,103.897,0,0,0
"wcpfc","NZL",177.5,-37.5,1996,7.7,7.7,43.465,43.465,0,0,0
"wcpfc","NZL",177.5,-37.5,1997,49.89,49.89,1377.178,1377.178,0,0,0
"wcpfc","NZL",177.5,-37.5,1998,58.96,58.96,2209.08,2209.08,0,0,0
"wcpfc","NZL",177.5,-37.5,1999,3.07,3.07,184.036,184.036,0,0,0
"wcpfc","NZL",177.5,-37.5,2000,120.58,120.58,3850.598,3850.598,0,0,0
"wcpfc","NZL",177.5,-37.5,2001,110.09,110.09,2128.759,2128.759,0,0,0
"wcpfc","NZL",177.5,-37.5,2002,52.14,52.14,660.177,660.177,0,0,0
"wcpfc","NZL",177.5,-37.5,2003,30.71,30.71,591.193,591.193,0,0,0
"wcpfc","NZL",177.5,-37.5,2004,58.74,58.74,946.253,946.253,0,0,0
"wcpfc","NZL",177.5,-37.5,2005,19.05,19.05,366.319,366.319,0,0,0
"wcpfc","NZL",177.5,-37.5,2006,17,17,494.7,494.7,0,0,0
"wcpfc","NZL",177.5,-37.5,2007,19.91,19.91,556.202,556.202,0,0,0
"wcpfc","NZL",177.5,-37.5,2008,94,94,2628.4,2628.4,0,0,0
"wcpfc","NZL",177.5,-37.5,2009,12.07,12.07,155.848,155.848,0,0,0
"wcpfc","NZL",177.5,-37.5,2010,36,36,585.1,585.1,0,0,0
"wcpfc","NZL",177.5,-37.5,2011,16,16,200,200,0,0,0
"wcpfc","NZL",177.5,-37.5,2012,20,20,387,387,0,0,0
"wcpfc","NZL",177.5,-37.5,2013,95,95,2791.1,2791.1,0,0,0
"wcpfc","NZL",177.5,-37.5,2014,29,29,1018,1018,0,0,0
"wcpfc","NZL",177.5,-37.5,2015,41.72,41.72,1007.489,1007.489,0,0,0
"wcpfc","NZL",177.5,-37.5,2016,20,20,387.1,387.1,0,0,0
"wcpfc","NZL",177.5,-37.5,2017,7,7,90,90,0,0,0
"wcpfc","NZL",177.5,-37.5,2018,16.31,16.31,332.341,332.341,0,0,0
"wcpfc","NZL",177.5,-37.5,2019,52.96,52.96,1850.265,1850.265,0,0,0
"wcpfc","NZL",178.5,-37.5,1991,20,20,497.5,497.5,0,0,0
"wcpfc","NZL",178.5,-37.5,1996,6.6,6.6,78.457,74.826,0,0,3.631
"wcpfc","NZL",178.5,-37.5,1997,3.24,3.24,100.888,100.888,0,0,0
"wcpfc","NZL",178.5,-37.5,1998,73.98,73.98,2978.343,2978.343,0,0,0
"wcpfc","NZL",178.5,-37.5,1999,14.31,14.31,787.263,787.263,0,0,0
"wcpfc","NZL",178.5,-37.5,2000,33.26,33.26,1606.408,1606.408,0,0,0
"wcpfc","NZL",178.5,-37.5,2002,21.14,21.14,352.987,352.987,0,0,0
"wcpfc","NZL",178.5,-37.5,2003,17.4,17.4,294.316,294.316,0,0,0
"wcpfc","NZL",178.5,-37.5,2004,43.71,43.71,893.259,893.259,0,0,0
"wcpfc","NZL",178.5,-37.5,2005,25.05,25.05,693.55,693.55,0,0,0
"wcpfc","NZL",178.5,-37.5,2006,28,28,496.1,496.1,0,0,0
"wcpfc","NZL",178.5,-37.5,2008,18,18,1027.7,1027.7,0,0,0
"wcpfc","NZL",178.5,-37.5,2009,27.15,27.15,999.236,999.236,0,0,0
"wcpfc","NZL",178.5,-37.5,2010,26,26,639,639,0,0,0
"wcpfc","NZL",178.5,-37.5,2012,14,14,301,301,0,0,0
"wcpfc","NZL",178.5,-37.5,2013,12,12,314.2,314.2,0,0,0
"wcpfc","NZL",178.5,-37.5,2015,27.11,27.11,1265.098,1265.098,0,0,0
"wcpfc","NZL",178.5,-37.5,2016,17,17,460,460,0,0,0
"wcpfc","NZL",178.5,-37.5,2018,7.14,7.14,355.788,355.788,0,0,0
"wcpfc","NZL",178.5,-37.5,2019,5.19,5.19,584.639,584.639,0,0,0
"wcpfc","NZL",179.5,-37.5,2004,9.56,9.56,274.534,274.534,0,0,0
"iccat","ARG",-54.5,-36.5,2010,3,0,12.517,0,12.517,0,0
"iccat","ARG",-53.5,-36.5,2010,0,0,3.093,0,3.093,0,0
"iccat","BRA",-50.5,-36.5,2023,3,0,34,32,0,0,2
"iccat","BLZ",1.5,-36.5,1996,0,30,4.016,0,4.016,0,0
"wcpfc","AUS",150.5,-36.5,1992,4,5.82,7,7,0,0,0
"wcpfc","AUS",150.5,-36.5,1993,130.5,153.89,3388.95,3388.95,0,0,0
"wcpfc","AUS",150.5,-36.5,1994,104.9,77.42,1910.215,1910.215,0,0,0
"wcpfc","AUS",150.5,-36.5,1996,18.8,11.7,436.716,436.716,0,0,0
"wcpfc","AUS",150.5,-36.5,1997,75.7,46.92,1153.279,1153.279,0,0,0
"wcpfc","AUS",150.5,-36.5,1999,45,25.22,1021,1021,0,0,0
"wcpfc","AUS",150.5,-36.5,2000,94,50.87,1312,1309,0,0,3
"wcpfc","AUS",150.5,-36.5,2003,10,7.41,283,283,0,0,0
"wcpfc","NZL",174.5,-36.5,2001,23.98,23.98,303.797,303.797,0,0,0
"wcpfc","NZL",174.5,-36.5,2006,7,7,192,192,0,0,0
"wcpfc","NZL",174.5,-36.5,2008,3,3,195,195,0,0,0
"wcpfc","NZL",174.5,-36.5,2010,10,10,348.2,348.2,0,0,0
"wcpfc","NZL",174.5,-36.5,2015,11.48,11.48,391.106,391.106,0,0,0
"wcpfc","NZL",175.5,-36.5,1983,17,9.23,196,196,0,0,0
"wcpfc","NZL",175.5,-36.5,1986,56,26.46,740,740,0,0,0
"wcpfc","NZL",175.5,-36.5,1987,18,8.69,269,269,0,0,0
"wcpfc","NZL",176.5,-36.5,1983,27,16.01,292,292,0,0,0
"wcpfc","NZL",176.5,-36.5,1984,47,23.94,536,536,0,0,0
"wcpfc","NZL",176.5,-36.5,1986,51,23.87,692,692,0,0,0
"wcpfc","NZL",176.5,-36.5,1987,47,22.54,767,767,0,0,0
"wcpfc","NZL",176.5,-36.5,1988,79.67,45.57,737.532,737.532,0,0,0
"wcpfc","NZL",176.5,-36.5,1990,11,11,451,451,0,0,0
"wcpfc","USA",176.5,-36.5,1990,11.01,9.66,200.536,200.536,0,0,0
"wcpfc","NZL",176.5,-36.5,1991,14,14,575,575,0,0,0
"wcpfc","NZL",176.5,-36.5,1996,12.1,12.1,136.556,136.556,0,0,0
"wcpfc","NZL",176.5,-36.5,1997,3.25,3.25,222.388,222.388,0,0,0
"wcpfc","NZL",176.5,-36.5,1998,3.47,3.47,17.339,17.339,0,0,0
"wcpfc","NZL",176.5,-36.5,1999,15.34,15.34,567.443,567.443,0,0,0
"wcpfc","NZL",176.5,-36.5,2000,31.18,31.18,1041.489,1041.489,0,0,0
"wcpfc","NZL",176.5,-36.5,2002,36.63,36.63,930.026,930.026,0,0,0
"wcpfc","NZL",176.5,-36.5,2003,7.17,7.17,51.186,51.186,0,0,0
"wcpfc","NZL",176.5,-36.5,2005,25.05,25.05,913.141,913.141,0,0,0
"wcpfc","NZL",176.5,-36.5,2006,4,4,15,15,0,0,0
"wcpfc","NZL",176.5,-36.5,2007,5.53,5.53,276.498,276.498,0,0,0
"wcpfc","NZL",176.5,-36.5,2008,6,6,121,121,0,0,0
"wcpfc","NZL",176.5,-36.5,2009,11.06,11.06,83.957,83.957,0,0,0
"wcpfc","NZL",176.5,-36.5,2010,11,11,490,490,0,0,0
"wcpfc","NZL",176.5,-36.5,2011,10,10,226,226,0,0,0
"wcpfc","NZL",176.5,-36.5,2012,5,5,78,78,0,0,0
"wcpfc","NZL",176.5,-36.5,2013,11,11,209,209,0,0,0
"wcpfc","NZL",176.5,-36.5,2014,30,30,587,587,0,0,0
"wcpfc","NZL",176.5,-36.5,2015,15.64,15.64,1148.288,1148.288,0,0,0
"wcpfc","NZL",176.5,-36.5,2017,10,10,325,325,0,0,0
"wcpfc","NZL",176.5,-36.5,2018,3.06,3.06,86.653,86.653,0,0,0
"wcpfc","NZL",176.5,-36.5,2020,22.66,12.19,708.186,708.186,0,0,0
"wcpfc","NZL",177.5,-36.5,1990,26,26,870.8,870.8,0,0,0
"wcpfc","NZL",177.5,-36.5,1991,37,37,1709,1709,0,0,0
"wcpfc","NZL",177.5,-36.5,1992,8,8,106,106,0,0,0
"wcpfc","NZL",177.5,-36.5,2000,12.48,12.48,442.789,442.789,0,0,0
"wcpfc","NZL",177.5,-36.5,2002,18.31,18.31,419.921,419.921,0,0,0
"wcpfc","NZL",177.5,-36.5,2005,16.03,16.03,441.387,441.387,0,0,0
"wcpfc","NZL",177.5,-36.5,2007,7.75,7.75,220.092,220.092,0,0,0
"wcpfc","NZL",177.5,-36.5,2009,21.12,21.12,497.406,497.406,0,0,0
"wcpfc","NZL",177.5,-36.5,2010,13,13,547.4,547.4,0,0,0
"wcpfc","NZL",177.5,-36.5,2012,8,8,468,468,0,0,0
"wcpfc","NZL",177.5,-36.5,2013,7,7,277,277,0,0,0
"wcpfc","NZL",177.5,-36.5,2014,21,21,563,563,0,0,0
"wcpfc","NZL",177.5,-36.5,2015,11.47,11.47,782.213,782.213,0,0,0
"wcpfc","NZL",177.5,-36.5,2016,15,15,662.8,662.8,0,0,0
"wcpfc","NZL",177.5,-36.5,2017,9,9,130,130,0,0,0
"wcpfc","NZL",177.5,-36.5,2019,20.76,20.76,673.825,673.825,0,0,0
"iccat","ARG",-52.5,-35.5,2010,0,0,5.307,5.307,0,0,0
"iccat","ARG",-51.5,-35.5,2010,0,0,6.546,6.528,0,0,0.018
"iccat","BLZ",1.5,-35.5,1996,0,30,4.15,0,4.15,0,0
"iccat","ZAF",19.5,-35.5,1979,0,0,64,0,0,0,64
"wcpfc","AUS",150.5,-35.5,1996,53.07,35.27,790.732,790.732,0,0,0
"wcpfc","AUS",150.5,-35.5,1997,38.47,25.75,462.9,462.9,0,0,0
"wcpfc","AUS",150.5,-35.5,1999,8,4.42,182.8,182.8,0,0,0
"wcpfc","AUS",150.5,-35.5,2000,32,18.85,331,331,0,0,0
"wcpfc","AUS",150.5,-35.5,2003,11,8.15,141,141,0,0,0
"wcpfc","AUS",151.5,-35.5,1996,22.11,14.82,216.147,216.147,0,0,0
"wcpfc","NZL",173.5,-35.5,2005,7.01,7.01,369.827,369.827,0,0,0
"wcpfc","NZL",173.5,-35.5,2006,8,8,268.8,268.8,0,0,0
"wcpfc","NZL",173.5,-35.5,2015,8.34,8.34,93.866,93.866,0,0,0
"wcpfc","NZL",174.5,-35.5,1983,40,21.5,450,450,0,0,0
"wcpfc","NZL",174.5,-35.5,1988,60.36,30.18,735.118,735.118,0,0,0
"wcpfc","NZL",174.5,-35.5,1999,7.16,7.16,156.43,156.43,0,0,0
"wcpfc","NZL",174.5,-35.5,2006,4,4,250,250,0,0,0
"wcpfc","NZL",175.5,-35.5,1983,109,58.79,1536,1534,0,0,2
"wcpfc","NZL",175.5,-35.5,1986,15,7.01,224,224,0,0,0
"wcpfc","NZL",175.5,-35.5,1987,48,24.02,791,791,0,0,0
"wcpfc","NZL",175.5,-35.5,1988,39.84,21.48,554.055,554.055,0,0,0
"wcpfc","USA",175.5,-35.5,1989,7.06,10.59,128.011,128.011,0,0,0
"wcpfc","USA",175.5,-35.5,1990,52.04,46.63,955.849,955.849,0,0,0
"wcpfc","NZL",175.5,-35.5,1991,31,31,1632,1632,0,0,0
"wcpfc","NZL",175.5,-35.5,1994,36.62,36.62,958.686,958.686,0,0,0
"wcpfc","NZL",175.5,-35.5,1996,8.8,8.8,158.454,158.454,0,0,0
"wcpfc","NZL",175.5,-35.5,1997,13.01,13.01,683.979,683.979,0,0,0
"wcpfc","NZL",175.5,-35.5,2000,3.12,3.12,130.03,130.03,0,0,0
"wcpfc","NZL",175.5,-35.5,2001,21.8,21.8,453.025,453.025,0,0,0
"wcpfc","NZL",175.5,-35.5,2003,10.23,10.23,240.572,240.572,0,0,0
"wcpfc","NZL",175.5,-35.5,2004,17.76,17.76,344.875,344.875,0,0,0
"wcpfc","NZL",175.5,-35.5,2005,32.07,32.07,641.032,641.032,0,0,0
"wcpfc","NZL",175.5,-35.5,2006,5,5,82,82,0,0,0
"wcpfc","NZL",175.5,-35.5,2007,49.78,49.78,2128.92,2128.92,0,0,0
"wcpfc","NZL",175.5,-35.5,2008,15,15,1228.7,1228.7,0,0,0
"wcpfc","NZL",175.5,-35.5,2009,27.15,27.15,1545.106,1545.106,0,0,0
"wcpfc","NZL",175.5,-35.5,2010,51,51,1984.7,1984.7,0,0,0
"wcpfc","NZL",175.5,-35.5,2011,18,18,622.7,622.7,0,0,0
"wcpfc","NZL",175.5,-35.5,2012,9,9,491,491,0,0,0
"wcpfc","NZL",175.5,-35.5,2013,12,12,417.2,417.2,0,0,0
"wcpfc","NZL",175.5,-35.5,2014,15,15,491,491,0,0,0
"wcpfc","NZL",175.5,-35.5,2015,32.33,32.33,1395.675,1395.675,0,0,0
"wcpfc","NZL",175.5,-35.5,2017,12,12,203.5,203.5,0,0,0
"wcpfc","NZL",175.5,-35.5,2018,20.39,20.39,868.979,868.979,0,0,0
"wcpfc","NZL",175.5,-35.5,2020,37.09,19.23,1720.499,1720.499,0,0,0
"wcpfc","NZL",176.5,-35.5,1983,11,5.5,460,460,0,0,0
"wcpfc","NZL",176.5,-35.5,1990,34,34,1044.6,1044.6,0,0,0
"wcpfc","NZL",176.5,-35.5,1991,21,21,990.5,990.5,0,0,0
"wcpfc","NZL",176.5,-35.5,1992,7,7,157,157,0,0,0
"wcpfc","NZL",176.5,-35.5,1994,15.53,15.53,479.343,479.343,0,0,0
"wcpfc","NZL",176.5,-35.5,1996,30.81,30.81,1097.079,1097.079,0,0,0
"wcpfc","NZL",176.5,-35.5,1997,17.35,17.35,847.244,847.244,0,0,0
"wcpfc","NZL",176.5,-35.5,1998,40.46,40.46,1910.967,1910.967,0,0,0
"wcpfc","NZL",176.5,-35.5,1999,12.27,12.27,832.25,832.25,0,0,0
"wcpfc","NZL",176.5,-35.5,2000,15.59,15.59,1355.391,1355.391,0,0,0
"wcpfc","NZL",176.5,-35.5,2001,8.72,8.72,238.721,238.721,0,0,0
"wcpfc","NZL",176.5,-35.5,2002,40.87,40.87,1063.752,1063.752,0,0,0
"wcpfc","NZL",176.5,-35.5,2003,37.88,37.88,971.706,971.706,0,0,0
"wcpfc","NZL",176.5,-35.5,2005,20.04,20.04,419.939,419.939,0,0,0
"wcpfc","NZL",176.5,-35.5,2006,13,13,228,228,0,0,0
"wcpfc","NZL",176.5,-35.5,2007,46.46,46.46,1685.529,1685.529,0,0,0
"wcpfc","NZL",176.5,-35.5,2008,18,18,1151.8,1151.8,0,0,0
"wcpfc","NZL",176.5,-35.5,2010,10,10,387,387,0,0,0
"wcpfc","NZL",176.5,-35.5,2011,33,33,1076,1076,0,0,0
"wcpfc","NZL",176.5,-35.5,2012,20,20,562,562,0,0,0
"wcpfc","NZL",176.5,-35.5,2014,4,4,156,156,0,0,0
"wcpfc","NZL",176.5,-35.5,2015,30.25,30.25,1911.727,1911.727,0,0,0
"wcpfc","NZL",176.5,-35.5,2016,23,23,733,733,0,0,0
"wcpfc","NZL",176.5,-35.5,2017,16,16,691,691,0,0,0
"wcpfc","NZL",176.5,-35.5,2018,4.08,4.08,211.026,211.026,0,0,0
"wcpfc","NZL",177.5,-35.5,1990,11,11,262,262,0,0,0
"wcpfc","NZL",177.5,-35.5,1991,7,7,255,255,0,0,0
"wcpfc","NZL",177.5,-35.5,2002,16.91,16.91,755.293,755.293,0,0,0
"wcpfc","NZL",177.5,-35.5,2005,14.03,14.03,688.238,688.238,0,0,0
"wcpfc","NZL",177.5,-35.5,2007,26.55,26.55,2042.321,2042.321,0,0,0
"wcpfc","NZL",177.5,-35.5,2014,4,4,137,137,0,0,0
"wcpfc","NZL",177.5,-35.5,2016,5,5,143,143,0,0,0
"iccat","BLZ",-4.5,-34.5,1996,0,29,3.874,0,3.874,0,0
"iccat","BLZ",3.5,-34.5,1996,0,29,3.987,0,3.987,0,0
"iccat","ZAF",19.5,-34.5,1979,0,0,38,0,0,0,38
"iccat","ZAF",19.5,-34.5,1980,0,0,13,0,0,0,13
"wcpfc","AUS",151.5,-34.5,1995,58.26,39.76,2043,2043,0,0,0
"wcpfc","AUS",151.5,-34.5,1996,30.96,17.69,406.864,406.864,0,0,0
"wcpfc","AUS",151.5,-34.5,2000,9,9,12,12,0,0,0
"wcpfc","USA",172.5,-34.5,2000,17.42,23.49,939.553,839.427,0,0,100.126
"wcpfc","NZL",172.5,-34.5,2013,21,19,1852.2,1852.2,0,0,0
"wcpfc","NZL",173.5,-34.5,1998,3.47,3.47,119.06,119.06,0,0,0
"wcpfc","NZL",174.5,-34.5,1990,48,48,1494.7,1494.7,0,0,0
"wcpfc","NZL",174.5,-34.5,1992,4,4,52,52,0,0,0
"wcpfc","NZL",174.5,-34.5,1993,9.32,9.32,328.209,328.209,0,0,0
"wcpfc","NZL",174.5,-34.5,1995,5.97,5.97,256.757,256.757,0,0,0
"wcpfc","NZL",174.5,-34.5,1997,57.5,57.5,2717.474,2717.474,0,0,0
"wcpfc","NZL",174.5,-34.5,1998,15.03,15.03,602.466,602.466,0,0,0
"wcpfc","NZL",174.5,-34.5,1999,14.31,14.31,320.221,320.221,0,0,0
"wcpfc","NZL",174.5,-34.5,2001,8.72,8.72,87.204,87.204,0,0,0
"wcpfc","NZL",174.5,-34.5,2004,17.76,17.76,345.011,345.011,0,0,0
"wcpfc","NZL",174.5,-34.5,2005,49.12,49.12,845.691,845.691,0,0,0
"wcpfc","NZL",174.5,-34.5,2007,16.59,16.59,572.903,572.903,0,0,0
"wcpfc","NZL",174.5,-34.5,2010,6,6,150,150,0,0,0
"wcpfc","NZL",174.5,-34.5,2012,19,19,1160.7,1160.7,0,0,0
"wcpfc","NZL",174.5,-34.5,2013,14,12.83,1378.6,1378.6,0,0,0
"wcpfc","NZL",174.5,-34.5,2014,9,10,170.1,170.1,0,0,0
"wcpfc","NZL",174.5,-34.5,2015,40.67,40.67,1063.809,1063.809,0,0,0
"wcpfc","NZL",174.5,-34.5,2017,49,49,1513.2,1513.1,0,0,0.1
"wcpfc","NZL",174.5,-34.5,2018,19.37,19.37,460.384,460.384,0,0,0
"wcpfc","NZL",174.5,-34.5,2019,15.58,15.58,824.267,824.267,0,0,0
"wcpfc","NZL",175.5,-34.5,1995,11.94,11.94,482.465,482.465,0,0,0
"wcpfc","NZL",175.5,-34.5,1996,3.3,3.3,60.631,60.631,0,0,0
"wcpfc","NZL",175.5,-34.5,1997,4.34,4.34,170.317,170.317,0,0,0
"wcpfc","NZL",175.5,-34.5,2012,6,6,107,107,0,0,0
"wcpfc","NZL",176.5,-34.5,1995,4.78,4.78,213.765,213.765,0,0,0
