"rfmo","lon","lat","year","month","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iccat",-29.5,-54.5,2015,9,0.9,0,19,NA,18,NA,1,NA,0
"iccat",-29.5,-54.5,2015,10,0.9,0,13,NA,12,NA,0,NA,1
"iccat",-19.5,-54.5,1994,2,17.91,4.2,0,0,NA,4.2,NA,0,NA
"iccat",-19.5,-54.5,1994,2,17.91,0,203,NA,0,NA,203,NA,0
"iccat",-14.5,-54.5,1994,2,53.73,15.1,0,0.5,NA,14.2,NA,0.4,NA
"iccat",-14.5,-54.5,1994,2,53.73,0,726,NA,18,NA,694,NA,14
"iccat",-9.5,-54.5,1994,2,71.64,20.1,0,0,NA,19.4,NA,0.7,NA
"iccat",-9.5,-54.5,1994,2,71.64,0,975,NA,0,NA,942,NA,33
"iccat",-9.5,-54.5,1994,3,17.91,3.2,0,0,NA,3.2,NA,0,NA
"iccat",-9.5,-54.5,1994,3,17.91,0,154,NA,0,NA,154,NA,0
"iccat",-4.5,-54.5,1994,2,53.73,13.8,0,0.5,NA,12.8,NA,0.5,NA
"iccat",-4.5,-54.5,1994,2,53.73,0,662,NA,18,NA,620,NA,24
"iccat",-4.5,-54.5,1994,3,17.91,3.8,0,0.1,NA,3.7,NA,0,NA
"iccat",-4.5,-54.5,1994,3,17.91,0,183,NA,4,NA,179,NA,0
"iccat",0.5,-54.5,1994,2,53.73,14,0,0.3,NA,13.4,NA,0.3,NA
"iccat",0.5,-54.5,1994,2,53.73,0,668,NA,9,NA,650,NA,9
"iccat",0.5,-54.5,1994,2,35.82,8,0,0,NA,8,NA,0,NA
"iccat",0.5,-54.5,1994,2,35.82,0,382,NA,0,NA,382,NA,0
"iccat",0.5,-54.5,1994,3,17.91,4.2,0,0,NA,4.2,NA,0,NA
"iccat",0.5,-54.5,1994,3,17.91,0,203,NA,0,NA,203,NA,0
"iccat",0.5,-54.5,1994,3,17.91,4.4,0,0,NA,4,NA,0.4,NA
"iccat",0.5,-54.5,1994,3,17.91,0,208,NA,0,NA,194,NA,14
"iccat",5.5,-54.5,1994,2,53.73,13.9,0,0.5,NA,12.1,NA,1.3,NA
"iccat",5.5,-54.5,1994,2,53.73,0,663,NA,24,NA,581,NA,58
"iccat",5.5,-54.5,1994,3,17.91,4.8,0,0,NA,4.8,NA,0,NA
"iccat",5.5,-54.5,1994,3,17.91,0,233,NA,0,NA,233,NA,0
"iccat",10.5,-54.5,1994,2,89.55,23.3,0,0.1,NA,22.7,NA,0.5,NA
"iccat",10.5,-54.5,1994,2,89.55,0,1157,NA,4,NA,1135,NA,18
"wcpfc",-177.5,-52.5,1970,3,134.366,0.026,2,0,0,0.026,2,0,0
"wcpfc",147.5,-52.5,1968,5,203.912,0.053,4,0,0,0.053,4,0,0
"iccat",-49.5,-49.5,2012,12,1.2,0,3,NA,0,NA,3,NA,0
"iccat",-34.5,-49.5,2015,4,1.2,0,7,NA,5,NA,0,NA,2
"iccat",-29.5,-49.5,2012,1,1.187,0,25,NA,20,NA,2,NA,3
"iccat",-29.5,-49.5,2015,9,0.9,0,16,NA,10,NA,2,NA,4
"iccat",-29.5,-49.5,2015,12,1.35,0,14,NA,6,NA,7,NA,1
"iccat",-19.5,-49.5,1994,2,17.91,4.6,0,0,NA,4.6,NA,0,NA
"iccat",-19.5,-49.5,1994,2,17.91,0,223,NA,0,NA,223,NA,0
"iccat",-14.5,-49.5,1993,10,37.854,7,0,0,NA,7,NA,0,NA
"iccat",-14.5,-49.5,1993,10,37.854,0,368,NA,0,NA,368,NA,0
"iccat",-14.5,-49.5,1994,3,17.91,4.4,0,0,NA,4.4,NA,0,NA
"iccat",-14.5,-49.5,1994,3,17.91,0,213,NA,0,NA,213,NA,0
"iccat",-9.5,-49.5,1993,10,37.854,7.6,0,0,NA,7.6,NA,0,NA
"iccat",-9.5,-49.5,1993,10,37.854,0,399,NA,0,NA,399,NA,0
"iccat",-9.5,-49.5,1994,3,17.91,4.1,0,0,NA,3.9,NA,0.2,NA
"iccat",-9.5,-49.5,1994,3,17.91,0,193,NA,0,NA,189,NA,4
"iccat",-4.5,-49.5,1993,10,37.854,9.1,0,0.5,NA,8.4,NA,0.2,NA
"iccat",-4.5,-49.5,1993,10,37.854,0,472,NA,21,NA,441,NA,10
"iccat",0.5,-49.5,1993,10,75.708,15.8,0,0,NA,15.8,NA,0,NA
"iccat",0.5,-49.5,1993,10,75.708,0,830,NA,0,NA,830,NA,0
"iccat",0.5,-49.5,1993,10,75.708,19.2,0,0,NA,18.4,NA,0.8,NA
"iccat",0.5,-49.5,1993,10,75.708,0,1009,NA,0,NA,967,NA,42
"iccat",5.5,-49.5,1993,10,113.562,24.7,0,0.2,NA,23.3,NA,1.2,NA
"iccat",5.5,-49.5,1993,10,113.562,0,1291,NA,10,NA,1229,NA,52
"wcpfc",-177.5,-47.5,1971,2,115.244,1.031,71,0,0,1.031,71,0,0
"iattc",-132.5,-47.5,1998,6,1.734,0.4,11,0.31,7,0.03,2,0.06,2
"wcpfc",142.5,-47.5,1997,5,105.141,0.036,2,0,0,0.036,2,0,0
"wcpfc",147.5,-47.5,1963,5,237.009,7.05,600,0,0,7.05,600,0,0
"wcpfc",147.5,-47.5,1965,12,485.472,2.87,233,0,0,2.87,233,0,0
"wcpfc",147.5,-47.5,1966,1,231.16,3.232,238,0,0,3.232,238,0,0
"wcpfc",147.5,-47.5,1966,5,132.198,0.58,50,0,0,0.58,50,0,0
"wcpfc",147.5,-47.5,1966,11,277.188,0.407,30,0,0,0.407,30,0,0
"wcpfc",147.5,-47.5,1966,12,724.017,0.693,51,0,0,0.693,51,0,0
"wcpfc",147.5,-47.5,1967,1,693.745,0.319,24,0,0,0.319,24,0,0
"wcpfc",147.5,-47.5,1967,8,210.383,0.08,6,0,0,0.08,6,0,0
"wcpfc",147.5,-47.5,1968,1,324.538,1.348,89,0.255,6,1.093,83,0,0
"wcpfc",147.5,-47.5,1968,2,191.385,1.449,110,0,0,1.449,110,0,0
"wcpfc",147.5,-47.5,1968,4,430.518,2.186,166,0,0,2.186,166,0,0
"wcpfc",147.5,-47.5,1968,5,150.702,5.22,325,1.361,32,3.859,293,0,0
"wcpfc",147.5,-47.5,1968,8,136.701,0.079,6,0,0,0.079,6,0,0
"wcpfc",147.5,-47.5,1968,12,1324.026,0.119,9,0,0,0.119,9,0,0
"wcpfc",147.5,-47.5,1969,1,974.812,0.302,21,0,0,0.302,21,0,0
"wcpfc",147.5,-47.5,1969,8,178.437,0.076,3,0,0,0.014,1,0.062,2
"wcpfc",147.5,-47.5,1969,12,425.611,0.404,27,0,0,0.373,26,0.031,1
"wcpfc",147.5,-47.5,1970,1,710.418,4.439,345,0,0,4.439,345,0,0
"wcpfc",147.5,-47.5,1970,3,180.526,0.926,72,0,0,0.926,72,0,0
"wcpfc",147.5,-47.5,1970,4,892.192,2.277,129,0.753,16,1.403,109,0.121,4
"wcpfc",147.5,-47.5,1970,5,435.035,0.862,67,0,0,0.862,67,0,0
"wcpfc",147.5,-47.5,1970,6,491.608,0.553,43,0,0,0.553,43,0,0
"wcpfc",147.5,-47.5,1970,7,272.153,0.026,2,0,0,0.026,2,0,0
"wcpfc",147.5,-47.5,1970,10,283.07,0.064,5,0,0,0.064,5,0,0
"wcpfc",147.5,-47.5,1970,11,617.229,0.064,5,0,0,0.064,5,0,0
"wcpfc",147.5,-47.5,1970,12,1747.451,0.939,73,0,0,0.939,73,0,0
"wcpfc",147.5,-47.5,1971,1,569.868,0.232,16,0,0,0.232,16,0,0
"wcpfc",147.5,-47.5,1971,4,195.63,1.118,77,0,0,1.118,77,0,0
"wcpfc",147.5,-47.5,1971,5,695.939,0.61,42,0,0,0.61,42,0,0
"wcpfc",147.5,-47.5,1971,6,408.221,1.031,71,0,0,1.031,71,0,0
"wcpfc",147.5,-47.5,1971,7,337.273,0.654,45,0,0,0.654,45,0,0
"wcpfc",147.5,-47.5,1971,8,236.149,0.073,5,0,0,0.073,5,0,0
"wcpfc",147.5,-47.5,1971,12,1905.974,0.174,12,0,0,0.174,12,0,0
"wcpfc",147.5,-47.5,1972,1,466.886,0.264,18,0,0,0.264,18,0,0
"wcpfc",147.5,-47.5,1972,4,218.45,0.234,16,0,0,0.234,16,0,0
"wcpfc",147.5,-47.5,1972,5,580.174,2.506,171,0,0,2.506,171,0,0
"wcpfc",147.5,-47.5,1972,6,416.192,5.07,346,0,0,5.07,346,0,0
"wcpfc",147.5,-47.5,1972,7,103.87,0.41,28,0,0,0.41,28,0,0
"wcpfc",147.5,-47.5,1972,11,465.853,0.762,52,0,0,0.762,52,0,0
"wcpfc",147.5,-47.5,1972,12,911.213,0.557,38,0,0,0.557,38,0,0
"wcpfc",147.5,-47.5,1973,1,841.723,0.427,32,0,0,0.427,32,0,0
"wcpfc",147.5,-47.5,1973,2,139.535,0.12,9,0,0,0.12,9,0,0
"wcpfc",147.5,-47.5,1973,4,188.593,0.08,6,0,0,0.08,6,0,0
"wcpfc",147.5,-47.5,1973,12,350.294,0.387,29,0,0,0.387,29,0,0
"wcpfc",147.5,-47.5,1974,1,623.249,0.201,15,0,0,0.201,15,0,0
"wcpfc",147.5,-47.5,1974,4,378.186,0.013,1,0,0,0.013,1,0,0
"wcpfc",147.5,-47.5,1974,5,882.039,0.951,71,0,0,0.951,71,0,0
"wcpfc",147.5,-47.5,1974,6,543.302,1.259,94,0,0,1.259,94,0,0
"wcpfc",147.5,-47.5,1974,7,107.442,0.588,61,0,0,0.588,61,0,0
"wcpfc",147.5,-47.5,1976,1,389.765,0.078,5,0,0,0.078,5,0,0
"wcpfc",147.5,-47.5,1976,4,409.224,0.031,2,0,0,0.031,2,0,0
"wcpfc",147.5,-47.5,1976,5,379.582,0.808,52,0,0,0.808,52,0,0
"wcpfc",147.5,-47.5,1976,11,141.358,0.326,21,0,0,0.326,21,0,0
"wcpfc",147.5,-47.5,1976,12,1206.209,0.404,26,0,0,0.404,26,0,0
"wcpfc",147.5,-47.5,1977,4,210.93,0.057,4,0,0,0.057,4,0,0
"wcpfc",147.5,-47.5,1977,12,507.905,0.028,2,0,0,0.028,2,0,0
"wcpfc",147.5,-47.5,1978,1,128.026,0.028,2,0,0,0.028,2,0,0
"wcpfc",147.5,-47.5,1978,3,306.064,0.127,9,0,0,0.127,9,0,0
"wcpfc",147.5,-47.5,1978,4,1003.582,0.071,5,0,0,0.071,5,0,0
"wcpfc",147.5,-47.5,1978,5,122.199,0.113,8,0,0,0.113,8,0,0
"wcpfc",147.5,-47.5,1979,11,393.86,0.024,2,0,0,0.024,2,0,0
"wcpfc",147.5,-47.5,1980,10,126.16,0.012,1,0,0,0.012,1,0,0
"wcpfc",147.5,-47.5,1980,11,473.866,0.036,3,0,0,0.036,3,0,0
"wcpfc",147.5,-47.5,1980,12,3304.683,0.512,43,0,0,0.512,43,0,0
"wcpfc",147.5,-47.5,1981,1,1333.4,0.404,32,0,0,0.404,32,0,0
"wcpfc",147.5,-47.5,1981,10,196.4,0.038,3,0,0,0.038,3,0,0
"wcpfc",147.5,-47.5,1981,11,959.2,0.013,1,0,0,0.013,1,0,0
"wcpfc",147.5,-47.5,1983,11,731.2,0.082,5,0,0,0.082,5,0,0
"wcpfc",147.5,-47.5,1983,12,1931.4,0.049,3,0,0,0.049,3,0,0
"wcpfc",147.5,-47.5,1985,11,1261.7,0.014,1,0,0,0.014,1,0,0
"wcpfc",147.5,-47.5,1988,11,614.1,0.028,2,0,0,0.028,2,0,0
"wcpfc",147.5,-47.5,1990,4,133.5,0.287,27,0,0,0.287,27,0,0
"wcpfc",147.5,-47.5,1991,7,123.525,0.036,2,0,0,0.036,2,0,0
"wcpfc",147.5,-47.5,1994,6,182.831,0.045,3,0,0,0.045,3,0,0
"wcpfc",152.5,-47.5,1967,1,187.165,0.027,2,0,0,0.027,2,0,0
"wcpfc",152.5,-47.5,1971,5,134.468,0.16,11,0,0,0.16,11,0,0
"wcpfc",152.5,-47.5,1974,5,198.007,1.353,101,0,0,1.353,101,0,0
"wcpfc",162.5,-47.5,1991,5,143.8,0.027,2,0,0,0.027,2,0,0
"wcpfc",162.5,-47.5,1992,5,148.855,0.014,1,0,0,0.014,1,0,0
"wcpfc",167.5,-47.5,1977,5,264.079,0.312,22,0,0,0.312,22,0,0
"wcpfc",167.5,-47.5,1980,5,256.482,0.798,67,0,0,0.798,67,0,0
"wcpfc",167.5,-47.5,1984,3,166.7,0.406,28,0,0,0.406,28,0,0
"wcpfc",167.5,-47.5,1985,4,541.6,0.13,9,0,0,0.13,9,0,0
"wcpfc",167.5,-47.5,1985,5,1694.4,0.361,25,0,0,0.361,25,0,0
"wcpfc",167.5,-47.5,1985,6,686,0.26,18,0,0,0.26,18,0,0
"wcpfc",167.5,-47.5,1986,3,796.2,0.651,45,0,0,0.651,45,0,0
"wcpfc",167.5,-47.5,1986,4,1346.8,0.203,14,0,0,0.203,14,0,0
"wcpfc",167.5,-47.5,1986,5,1227,0.087,6,0,0,0.087,6,0,0
"wcpfc",167.5,-47.5,1987,2,390.6,0.072,5,0,0,0.072,5,0,0
"wcpfc",167.5,-47.5,1987,4,874.3,0.014,1,0,0,0.014,1,0,0
"wcpfc",167.5,-47.5,1988,5,420.9,0.014,1,0,0,0.014,1,0,0
"wcpfc",167.5,-47.5,1989,5,627.2,0.34,22,0,0,0.34,22,0,0
"wcpfc",167.5,-47.5,1989,6,109.7,0.077,5,0,0,0.077,5,0,0
"wcpfc",167.5,-47.5,1990,3,355.6,0.097,7,0,0,0.097,7,0,0
"wcpfc",167.5,-47.5,1990,4,535.9,0.111,8,0,0,0.111,8,0,0
"wcpfc",167.5,-47.5,1990,5,696.1,0.968,70,0,0,0.968,70,0,0
"wcpfc",167.5,-47.5,1990,6,488,1.922,139,0,0,1.922,139,0,0
"wcpfc",167.5,-47.5,1991,3,197.8,0.272,16,0,0,0.272,16,0,0
"wcpfc",167.5,-47.5,1991,4,1282.978,0.225,17,0,0,0.225,17,0,0
"wcpfc",167.5,-47.5,1991,5,1994.297,0.675,51,0,0,0.675,51,0,0
"wcpfc",167.5,-47.5,1991,6,150,0.053,4,0,0,0.053,4,0,0
"wcpfc",167.5,-47.5,1992,3,252.511,0.042,2,0.042,2,0,0,0,0
"wcpfc",167.5,-47.5,1992,4,1542.197,0.411,30,0,0,0.411,30,0,0
"wcpfc",167.5,-47.5,1992,5,1179.451,0.781,57,0,0,0.781,57,0,0
"wcpfc",167.5,-47.5,1993,5,670.119,0.109,7,0,0,0.109,7,0,0
"wcpfc",167.5,-47.5,1994,4,252.95,0.092,6,0,0,0.092,6,0,0
"wcpfc",167.5,-47.5,1994,5,339.821,0.722,58,0,0,0.722,58,0,0
"wcpfc",167.5,-47.5,1995,4,407.135,0.081,8,0,0,0.081,8,0,0
"wcpfc",167.5,-47.5,1995,5,642.325,0.641,53,0,0,0.641,53,0,0
"wcpfc",167.5,-47.5,1996,4,176.514,0.277,33,0,0,0.277,33,0,0
"wcpfc",167.5,-47.5,1997,4,163.493,0.122,8,0.079,3,0.043,5,0,0
"wcpfc",167.5,-47.5,1997,5,218.487,0.082,9,0,0,0.082,9,0,0
"wcpfc",167.5,-47.5,1998,5,274.79,0.57,46,0,0,0.57,46,0,0
"wcpfc",167.5,-47.5,1999,4,142.008,0.741,62,0,0,0.741,62,0,0
"wcpfc",167.5,-47.5,1999,5,309.307,1.926,142,0,0,1.926,142,0,0
"wcpfc",167.5,-47.5,1999,6,144.993,0.889,63,0,0,0.889,63,0,0
"wcpfc",167.5,-47.5,2000,5,171.573,0.418,28,0,0,0.418,28,0,0
"wcpfc",167.5,-47.5,2001,5,325.516,4.426,347,0,0,4.426,347,0,0
"wcpfc",167.5,-47.5,2002,4,249.975,0.832,55,0,0,0.832,55,0,0
"wcpfc",167.5,-47.5,2002,5,334.391,0.992,61,0,0,0.992,61,0,0
"wcpfc",167.5,-47.5,2003,4,323.985,0.846,73,0,0,0.846,73,0,0
"wcpfc",167.5,-47.5,2003,5,211.477,0.971,101,0,0,0.971,101,0,0
"wcpfc",167.5,-47.5,2004,4,359.945,0.489,56,0,0,0.489,56,0,0
"wcpfc",167.5,-47.5,2004,5,248.407,0.85,79,0,0,0.85,79,0,0
"wcpfc",167.5,-47.5,2005,4,194.006,0.135,15,0,0,0.135,15,0,0
"wcpfc",167.5,-47.5,2006,4,127.55,0.064,8,0,0,0.064,8,0,0
"wcpfc",167.5,-47.5,2007,4,132.14,0.97,89,0,0,0.97,89,0,0
"wcpfc",167.5,-47.5,2008,4,101.399,1.184,112,0,0,1.184,112,0,0
"wcpfc",167.5,-47.5,2008,5,321.023,2.514,199,0,0,2.514,199,0,0
"wcpfc",167.5,-47.5,2009,5,101.126,0.137,9,0,0,0.137,9,0,0
"wcpfc",167.5,-47.5,2010,5,201.612,0.431,33,0,0,0.431,33,0,0
"wcpfc",167.5,-47.5,2011,5,194.901,0.388,38,0,0,0.388,38,0,0
"wcpfc",172.5,-47.5,1969,2,185.453,0.244,17,0,0,0.244,17,0,0
"wcpfc",172.5,-47.5,1969,3,751.742,3.618,252,0,0,3.618,252,0,0
"wcpfc",172.5,-47.5,1969,4,769.656,1.048,73,0,0,1.048,73,0,0
"wcpfc",172.5,-47.5,1970,1,333.443,3.946,369,0,0,3.946,369,0,0
"wcpfc",172.5,-47.5,1970,2,1000.777,5.433,508,0,0,5.433,508,0,0
"wcpfc",172.5,-47.5,1970,3,1871.835,6.47,605,0,0,6.47,605,0,0
"wcpfc",172.5,-47.5,1970,4,876.652,1.274,99,0,0,1.274,99,0,0
"wcpfc",172.5,-47.5,1971,1,560.46,3.18,219,0,0,3.18,219,0,0
"wcpfc",172.5,-47.5,1971,2,838.266,10.747,740,0,0,10.747,740,0,0
"wcpfc",172.5,-47.5,1971,3,3224.52,30.106,2073,0,0,30.106,2073,0,0
"wcpfc",172.5,-47.5,1971,4,1298.476,9.585,660,0,0,9.585,660,0,0
"wcpfc",172.5,-47.5,1971,5,115.2,0.508,35,0,0,0.508,35,0,0
"wcpfc",172.5,-47.5,1972,2,1330.513,1.641,112,0,0,1.641,112,0,0
"wcpfc",172.5,-47.5,1972,3,3273.213,7.459,509,0,0,7.459,509,0,0
"wcpfc",172.5,-47.5,1972,4,761.284,1.246,85,0,0,1.246,85,0,0
"wcpfc",172.5,-47.5,1972,5,229.604,0.498,34,0,0,0.498,34,0,0
"wcpfc",172.5,-47.5,1973,2,988.63,0.134,10,0,0,0.134,10,0,0
"wcpfc",172.5,-47.5,1973,3,1772.029,1.216,91,0,0,1.216,91,0,0
"wcpfc",172.5,-47.5,1973,4,1673.685,11.554,865,0,0,11.554,865,0,0
"wcpfc",172.5,-47.5,1973,5,357.705,0.04,3,0,0,0.04,3,0,0
"wcpfc",172.5,-47.5,1974,2,1914.188,0.63,47,0,0,0.63,47,0,0
"wcpfc",172.5,-47.5,1974,3,1459.186,0.951,71,0,0,0.951,71,0,0
"wcpfc",172.5,-47.5,1974,4,1421.09,2.652,198,0,0,2.652,198,0,0
"wcpfc",172.5,-47.5,1974,5,354.511,4.957,370,0,0,4.957,370,0,0
"wcpfc",172.5,-47.5,1975,1,217.786,0.047,3,0,0,0.047,3,0,0
"wcpfc",172.5,-47.5,1975,2,1527.013,1.825,112,0.128,3,1.697,109,0,0
"wcpfc",172.5,-47.5,1975,3,2596.276,3.97,255,0,0,3.97,255,0,0
"wcpfc",172.5,-47.5,1975,4,2301.964,2.227,143,0,0,2.227,143,0,0
"wcpfc",172.5,-47.5,1975,5,351.049,0.202,13,0,0,0.202,13,0,0
"wcpfc",172.5,-47.5,1976,2,2416.903,1.041,67,0,0,1.041,67,0,0
"wcpfc",172.5,-47.5,1976,3,3336.438,1.072,69,0,0,1.072,69,0,0
"wcpfc",172.5,-47.5,1976,4,2668.257,1.507,97,0,0,1.507,97,0,0
"wcpfc",172.5,-47.5,1976,5,1053.047,0.115,3,0.115,3,0,0,0,0
"wcpfc",172.5,-47.5,1977,1,947.685,0.156,11,0,0,0.156,11,0,0
"wcpfc",172.5,-47.5,1977,2,2094.105,0.638,45,0,0,0.638,45,0,0
"wcpfc",172.5,-47.5,1977,3,3920.323,0.823,58,0,0,0.823,58,0,0
"wcpfc",172.5,-47.5,1977,4,2870.429,0.752,53,0,0,0.752,53,0,0
"wcpfc",172.5,-47.5,1977,5,1078.873,0.128,9,0,0,0.128,9,0,0
"wcpfc",172.5,-47.5,1978,2,541.707,0.392,26,0.039,1,0.353,25,0,0
"wcpfc",172.5,-47.5,1978,3,950.396,0.127,9,0,0,0.127,9,0,0
"wcpfc",172.5,-47.5,1979,2,1881.051,0.448,37,0,0,0.448,37,0,0
"wcpfc",172.5,-47.5,1979,3,3835.096,1.556,112,0.296,8,1.26,104,0,0
"wcpfc",172.5,-47.5,1979,4,2948.548,1.175,97,0,0,1.175,97,0,0
"wcpfc",172.5,-47.5,1979,5,1497.569,1.385,100,0.259,7,1.126,93,0,0
"wcpfc",172.5,-47.5,1980,2,2042.322,0.071,6,0,0,0.071,6,0,0
"wcpfc",172.5,-47.5,1980,3,4460.543,0.262,22,0,0,0.262,22,0,0
"wcpfc",172.5,-47.5,1980,4,3934.174,0.262,22,0,0,0.262,22,0,0
"wcpfc",172.5,-47.5,1980,5,1677.226,0.369,31,0,0,0.369,31,0,0
"wcpfc",172.5,-47.5,1981,2,1687.1,2.009,159,0,0,2.009,159,0,0
"wcpfc",172.5,-47.5,1981,3,3634.8,2.881,228,0,0,2.881,228,0,0
"wcpfc",172.5,-47.5,1981,4,3947.5,4.624,366,0,0,4.624,366,0,0
"wcpfc",172.5,-47.5,1981,5,749.7,1.415,112,0,0,1.415,112,0,0
"wcpfc",172.5,-47.5,1982,2,408.9,0.015,1,0,0,0.015,1,0,0
"wcpfc",172.5,-47.5,1982,3,2605.6,0.03,2,0,0,0.03,2,0,0
"wcpfc",172.5,-47.5,1982,4,2863.8,0.502,34,0,0,0.502,34,0,0
"wcpfc",172.5,-47.5,1982,5,1124.1,0.384,26,0,0,0.384,26,0,0
"wcpfc",172.5,-47.5,1983,4,1773.5,0.016,1,0,0,0.016,1,0,0
"wcpfc",172.5,-47.5,1983,5,558.4,0.066,4,0,0,0.066,4,0,0
"wcpfc",172.5,-47.5,1984,3,1917.9,0.015,1,0,0,0.015,1,0,0
"wcpfc",172.5,-47.5,1984,4,2396.5,0.058,4,0,0,0.058,4,0,0
"wcpfc",172.5,-47.5,1984,5,1647.1,1.117,77,0,0,1.117,77,0,0
"wcpfc",172.5,-47.5,1985,3,1246.2,1.082,75,0,0,1.082,75,0,0
"wcpfc",172.5,-47.5,1985,4,1704.4,0.894,62,0,0,0.894,62,0,0
"wcpfc",172.5,-47.5,1985,5,452.8,0.014,1,0,0,0.014,1,0,0
"wcpfc",172.5,-47.5,1986,3,587.6,1.259,87,0,0,1.259,87,0,0
"wcpfc",172.5,-47.5,1986,4,1044.9,1.244,86,0,0,1.244,86,0,0
"wcpfc",172.5,-47.5,1987,2,109.3,0.043,3,0,0,0.043,3,0,0
"wcpfc",172.5,-47.5,1987,3,1394,0.014,1,0,0,0.014,1,0,0
"wcpfc",172.5,-47.5,1987,4,1735.9,0.014,1,0,0,0.014,1,0,0
"wcpfc",172.5,-47.5,1988,3,993.3,0.854,61,0,0,0.854,61,0,0
"wcpfc",172.5,-47.5,1988,4,1550.9,0.014,1,0,0,0.014,1,0,0
"wcpfc",172.5,-47.5,1989,4,1109.5,0.247,16,0,0,0.247,16,0,0
"wcpfc",172.5,-47.5,1989,5,801.3,0.093,6,0,0,0.093,6,0,0
"wcpfc",172.5,-47.5,1990,4,334,0.207,15,0,0,0.207,15,0,0
"wcpfc",172.5,-47.5,1990,5,144.3,0.055,4,0,0,0.055,4,0,0
"wcpfc",172.5,-47.5,1991,3,541.665,0.511,30,0,0,0.511,30,0,0
"wcpfc",172.5,-47.5,1991,4,1062.393,0.332,25,0,0,0.332,25,0,0
"wcpfc",172.5,-47.5,1997,4,307.048,0.016,1,0,0,0.016,1,0,0
"wcpfc",172.5,-47.5,2020,4,105.475,0.038,4,0,0,0.038,4,0,0
"wcpfc",172.5,-47.5,2023,3,131.15,2.072,314,0,0,2.072,314,0,0
"wcpfc",172.5,-47.5,2023,4,115.3,1.022,267,0,0,1.022,267,0,0
"wcpfc",172.5,-47.5,2024,3,139.137,3.44,410,0,0,3.44,410,0,0
"wcpfc",172.5,-47.5,2024,4,199.673,0.495,64,0,0,0.495,64,0,0
"wcpfc",177.5,-47.5,1968,5,128.457,0.066,5,0,0,0.066,5,0,0
"wcpfc",177.5,-47.5,1969,3,194.474,5.169,360,0,0,5.169,360,0,0
"wcpfc",177.5,-47.5,1969,4,655.788,2.484,173,0,0,2.484,173,0,0
"wcpfc",177.5,-47.5,1969,5,115.665,0.172,12,0,0,0.172,12,0,0
"wcpfc",177.5,-47.5,1970,1,122.103,2.813,263,0,0,2.813,263,0,0
"wcpfc",177.5,-47.5,1970,2,980.083,12.48,1167,0,0,12.48,1167,0,0
"wcpfc",177.5,-47.5,1970,3,590.201,5.422,507,0,0,5.422,507,0,0
"wcpfc",177.5,-47.5,1970,4,385.083,1.814,141,0,0,1.814,141,0,0
"wcpfc",177.5,-47.5,1971,1,132.388,2.919,201,0,0,2.919,201,0,0
"wcpfc",177.5,-47.5,1971,2,291.527,11.763,810,0,0,11.763,810,0,0
"wcpfc",177.5,-47.5,1971,3,455.385,14.683,1011,0,0,14.683,1011,0,0
"wcpfc",177.5,-47.5,1971,4,1508.771,7.871,542,0,0,7.871,542,0,0
"wcpfc",177.5,-47.5,1972,2,110.038,0.571,39,0,0,0.571,39,0,0
"wcpfc",177.5,-47.5,1972,3,138.215,0.85,58,0,0,0.85,58,0,0
"wcpfc",177.5,-47.5,1972,4,200.45,0.468,28,0.087,2,0.381,26,0,0
"wcpfc",177.5,-47.5,1973,2,322.532,1.104,80,0.049,1,1.055,79,0,0
"wcpfc",177.5,-47.5,1973,3,695.456,4.622,346,0,0,4.622,346,0,0
"wcpfc",177.5,-47.5,1974,2,229.233,0.013,1,0,0,0.013,1,0,0
"wcpfc",177.5,-47.5,1974,3,1081.077,2.612,195,0,0,2.612,195,0,0
"wcpfc",177.5,-47.5,1974,4,466.506,0.013,1,0,0,0.013,1,0,0
"wcpfc",177.5,-47.5,1975,2,443.951,1.822,117,0,0,1.822,117,0,0
"wcpfc",177.5,-47.5,1975,3,173.406,0.187,12,0,0,0.187,12,0,0
"wcpfc",177.5,-47.5,1975,4,104.706,0.016,1,0,0,0.016,1,0,0
"wcpfc",177.5,-47.5,1975,5,225.208,0.047,3,0,0,0.047,3,0,0
"wcpfc",177.5,-47.5,1976,2,1346.031,1.026,66,0,0,1.026,66,0,0
"wcpfc",177.5,-47.5,1976,3,1213.485,0.793,51,0,0,0.793,51,0,0
"wcpfc",177.5,-47.5,1976,4,1272.617,0.373,24,0,0,0.373,24,0,0
"wcpfc",177.5,-47.5,1976,5,517.89,0.047,3,0,0,0.047,3,0,0
"wcpfc",177.5,-47.5,1977,1,175.245,0.525,37,0,0,0.525,37,0,0
"wcpfc",177.5,-47.5,1977,2,164.57,0.099,7,0,0,0.099,7,0,0
"wcpfc",177.5,-47.5,1977,3,519.776,0.496,35,0,0,0.496,35,0,0
"wcpfc",177.5,-47.5,1977,4,1251.583,0.071,5,0,0,0.071,5,0,0
"wcpfc",177.5,-47.5,1978,2,320.902,0.169,12,0,0,0.169,12,0,0
"wcpfc",177.5,-47.5,1978,3,394.563,0.338,24,0,0,0.338,24,0,0
"wcpfc",177.5,-47.5,1979,4,346.162,0.061,5,0,0,0.061,5,0,0
