"rfmo","lon","lat","year","effort_set","effort_day","catch_tot","catch_skj","catch_alb","catch_bet","catch_yft"
"wcpfc",175.5,-37.5,2018,6.12,6.12,188.496,188.496,0,0,0
"wcpfc",176.5,-37.5,1983,28,19.16,264,264,0,0,0
"wcpfc",176.5,-37.5,1984,108,57.58,1521,1521,0,0,0
"wcpfc",176.5,-37.5,1985,74,34.95,844,844,0,0,0
"wcpfc",176.5,-37.5,1986,149,76.37,2112,2112,0,0,0
"wcpfc",176.5,-37.5,1987,102,55.49,846,845,0,0,1
"wcpfc",176.5,-37.5,1988,153.31,81.64,941.53,941.53,0,0,0
"wcpfc",176.5,-37.5,1999,11.25,11.25,422.259,422.259,0,0,0
"wcpfc",176.5,-37.5,2000,6.24,6.24,253.616,253.616,0,0,0
"wcpfc",176.5,-37.5,2001,3.27,3.27,17.441,17.441,0,0,0
"wcpfc",176.5,-37.5,2004,10.93,10.93,214.437,214.437,0,0,0
"wcpfc",176.5,-37.5,2005,4.01,4.01,33.074,33.074,0,0,0
"wcpfc",176.5,-37.5,2008,5,5,98,98,0,0,0
"wcpfc",176.5,-37.5,2011,9,9,152,152,0,0,0
"wcpfc",176.5,-37.5,2012,8,8,98,98,0,0,0
"wcpfc",176.5,-37.5,2013,3,3,42,42,0,0,0
"wcpfc",177.5,-37.5,1983,20,12.55,345,345,0,0,0
"wcpfc",177.5,-37.5,1984,65,34.59,747,747,0,0,0
"wcpfc",177.5,-37.5,1985,28,13.24,594,594,0,0,0
"wcpfc",177.5,-37.5,1986,13,6.32,267,267,0,0,0
"wcpfc",177.5,-37.5,1987,46,21.11,808,808,0,0,0
"wcpfc",177.5,-37.5,1990,41,41,894.3,894.3,0,0,0
"wcpfc",177.5,-37.5,1991,41,41,959,959,0,0,0
"wcpfc",177.5,-37.5,1992,15,15,334,334,0,0,0
"wcpfc",177.5,-37.5,1994,26.64,26.64,325.11,325.11,0,0,0
"wcpfc",177.5,-37.5,1995,7.16,7.16,103.897,103.897,0,0,0
"wcpfc",177.5,-37.5,1996,7.7,7.7,43.465,43.465,0,0,0
"wcpfc",177.5,-37.5,1997,49.89,49.89,1377.178,1377.178,0,0,0
"wcpfc",177.5,-37.5,1998,58.96,58.96,2209.08,2209.08,0,0,0
"wcpfc",177.5,-37.5,1999,3.07,3.07,184.036,184.036,0,0,0
"wcpfc",177.5,-37.5,2000,120.58,120.58,3850.598,3850.598,0,0,0
"wcpfc",177.5,-37.5,2001,110.09,110.09,2128.759,2128.759,0,0,0
"wcpfc",177.5,-37.5,2002,52.14,52.14,660.177,660.177,0,0,0
